# Intel instruction encoding, extracted from architecture ref manual

0F 45 /r       |CMOVNZ r32,r/m32
0F 40 /r       |CMOVO r16,r/m16
0F 40 /r       |CMOVO r32,r/m32
0F 4A /r       |CMOVP r16,r/m16
0F 4A /r       |CMOVP r32,r/m32
0F 4A /r       |CMOVPE r16,r/m16
0F 4A /r       |CMOVPE r32,r/m32
0F 4B /r       |CMOVPO r16,r/m16
0F 4B /r       |CMOVPO r32,r/m32
0F 48 /r       |CMOVS r16,r/m16
0F 48 /r       |CMOVS r32,r/m32
0F 44 /r       |CMOVZ r16,r/m16
0F 44 /r       |CMOVZ r32,r/m32
#
#  Floating-point conditional move
#
DA C0+i        |FCMOVB ST(0),ST(i)
DA C8+i        |FCMOVE ST(0),ST(i)
DA D0+i        |FCMOVBE ST(0),ST(i)
DA D8+i        |FCMOVU ST(0),ST(i)
DB C0+i        |FCMOVNB ST(0),ST(i)
DB C8+i        |FCMOVNE ST(0),ST(i)
DB D0+i        |FCMOVNBE ST(0),ST(i)
DB D8+i        |FCMOVNU ST(0),ST(i)
#
#  Streaming SIMD instructions (nothing below here is really translated
#  except the odd couple of instructions which don't mention mm/xmm)
#
0F 58 /r       |ADDPS xmm1,xmm2/m128
F3 0F 58 /r    |ADDSS xmm1,xmm2/m32
0F 55 /r       |ANDNPS xmm1,xmm2/m128
0F 54 /r       |ANDPS xmm1,xmm2/m128
0F C2 /r ib    |CMPPS xmm1,xmm2/m128,imm8
F3 0F C2 /r ib |CMPSS xmm1,xmm2/m32,imm8
0F 2F /r       |COMISS xmm1,xmm2/m32
0F 2A /r       |CVTPI2PS xmm,mm/m64
0F 2D /r       |CVTPS2PI mm,xmm/m64
0F 2C /r       |CVTTPS2PI mm,xmm/m64
F3 0F 2A /r    |CVTSI2SS xmm,r/m32
F3 0F 2D /r    |CVTSS2SI r32,xmm/m32
F3 0F 2C /r    |CVTTSS2SI r32,xmm/m32
0F 5E /r       |DIVPS xmm1,xmm2/m128
F3 0F 5E /r    |DIVSS xmm1,xmm2/m32
0F AE /1       |FXRSTOR m512byte
0F AE /0       |FXSAVE m512byte
0F AE /2       |LDMXCSR m32
0F 5F /r       |MAXPS xmm1,xmm2/m128
F3 0F 5F /r    |MAXSS xmm1,xmm2/m32
0F 5D /r       |MINPS xmm1,xmm2/m128
F3 0F 5D /r    |MINSS xmm1,xmm2/m32
0F 28 /r       |MOVAPS xmm1,xmm2/m128
0F 29 /r       |MOVAPS xmm2/m128,xmm1
OF 12 /r       |MOVHLPS xmm1,xmm2
0F 16 /r       |MOVHPS xmm,m64
0F 17 /r       |MOVHPS m64,xmm
OF 16 /r       |MOVLHPS xmm1,xmm2
0F 12 /r       |MOVLPS xmm,m64
0F 13 /r       |MOVLPS m64,xmm
0F 50 /r       |MOVMSKPS r32,xmm
0F 2B /r       |MOVNTPS m128,xmm
F3 0F 10 /r    |MOVSS xmm1,xmm2/m32
F3 0F 11 /r    |MOVSS xmm2/m32,xmm1
0F 10 /r       |MOVUPS xmm1,xmm2/m128
0F 11 /r       |MOVUPS xmm2/m128,xmm1
0F 59 /r       |MULPS xmm1,xmm2/m128
F3 0F 59 /r    |MULSS xmm1 xmm2/m32
0F 56 /r       |ORPS xmm1,xmm2/m128
0F 53 /r       |RCPPS xmm1,xmm2/m128
F3 0F 53 /r    |RCPSS xmm1,xmm2/m32
0F 52 /r       |RSQRTPS xmm1,xmm2/m128
F3 0F 52 /r    |RSQRTSS xmm1,xmm2/m32
0F 51 /r       |SQRTPS xmm1,xmm2/m128
F3 0F 51 /r    |SQRTSS xmm1,xmm2/m32
0F 5C /r       |SUBPS xmm1,xmm2/m128
F3 0F 5C /r    |SUBSS xmm1,xmm2/m32
0F C6 /r ib    |SHUFPS xmm1,xmm2/m128,imm8
0F AE /3       |STMXCSR m32
0F 2E /r       |UCOMISS xmm1,xmm2/m32
0F 15 /r       |UNPCKHPS xmm1,xmm2/m128
0F 14 /r       |UNPCKLPS xmm1,xmm2/m128
0F 57 /r       |XORPS xmm1,xmm2/m128
#
#  MMX instructions
#
0F 77          |EMMS
0F F7 /r       |MASKMOVQ mm1,mm2
0F 6E /r       |MOVD mm,r/m32
0F 7E /r       |MOVD r/m32,mm
0F E7 /r       |MOVNTQ m64,mm
0F 6F /r       |MOVQ mm,mm/m64
0F 7F /r       |MOVQ mm/m64,mm
0F 63 /r       |PACKSSWB mm,mm/m64
0F 6B /r       |PACKSSDW mm,mm/m64
0F 67 /r       |PACKUSWB mm,mm/m64
0F FC /r       |PADDB mm,mm/m64
0F FD /r       |PADDW mm,mm/m64
0F FE /r       |PADDD mm,mm/m64
0F EC /r       |PADDSB mm,mm/m64
0F ED /r       |PADDSW mm,mm/m64
0F DC /r       |PADDUSB mm,mm/m64
0F DD /r       |PADDUSW mm,mm/m64
0F DB /r       |PAND mm,mm/m64
0F DF /r       |PANDN mm,mm/m64
0F E0 /r       |PAVGB mm1,mm2/m64
0F E3 /r       |PAVGW mm1,mm2/m64
0F 74 /r       |PCMPEQB mm,mm/m64
0F 75 /r       |PCMPEQW mm,mm/m64
0F 76 /r       |PCMPEQD mm,mm/m64
0F 64 /r       |PCMPGTB mm,mm/m64
0F 65 /r       |PCMPGTW mm,mm/m64
0F 66 /r       |PCMPGTD mm,mm/m64
0F C5 /r ib    |PEXTRW r32,mm,imm8
0F C4 /r ib    |PINSRW mm,r32/m16,imm8
0F F5 /r       |PMADDWD mm,mm/m64
0F EE /r       |PMAXSW mm1,mm2/m64
0F DE /r       |PMAXUB mm1,mm2/m64
0F EA /r       |PMINSW mm1,mm2/m64
0F DA /r       |PMINUB mm1,mm2/m64
0F D7 /r       |PMOVMSKB r32,mm
0F E4 /r       |PMULHUW mm1,mm2/m64
0F E5 /r       |PMULHW mm,mm/m64
0F D5 /r       |PMULLW mm,mm/m64
0F EB /r       |POR mm,mm/m64
0F F6 /r       |PSADBW mm1,mm2/m64
0F 70 /r ib    |PSHUFW mm1,mm2/m64,imm8
0F F1 /r       |PSLLW mm,mm/m64
0F 71 /6 ib    |PSLLW mm,imm8
0F F2 /r       |PSLLD mm,mm/m64
0F 72 /6 ib    |PSLLD mm,imm8
0F F3 /r       |PSLLQ mm,mm/m64
0F 73 /6 ib    |PSLLQ mm,imm8
0F E1 /r       |PSRAW mm,mm/m64
0F 71 /4 ib    |PSRAW mm,imm8
0F E2 /r       |PSRAD mm,mm/m64
0F 72 /4 ib    |PSRAD mm,imm8
0F D1 /r       |PSRLW mm,mm/m64
0F 71 /2 ib    |PSRLW mm,imm8
0F D2 /r       |PSRLD mm,mm/m64
0F 72 /2 ib    |PSRLD mm,imm8
0F D3 /r       |PSRLQ mm,mm/m64
0F 73 /2 ib    |PSRLQ mm,imm8
0F F8 /r       |PSUBB mm,mm/m64
0F F9 /r       |PSUBW mm,mm/m64
0F FA /r       |PSUBD mm,mm/m64
0F E8 /r       |PSUBSB mm,mm/m64
0F E9 /r       |PSUBSW mm,mm/m64
0F D8 /r       |PSUBUSB mm,mm/m64
0F D9 /r       |PSUBUSW mm,mm/m64
0F 68 /r       |PUNPCKHBW mm,mm/m64
0F 69 /r       |PUNPCKHWD mm,mm/m64
0F 6A /r       |PUNPCKHDQ mm,mm/m64
0F 60 /r       |PUNPCKLBW mm,mm/m32
0F 61 /r       |PUNPCKLWD mm,mm/m32
0F 62 /r       |PUNPCKLDQ mm,mm/m32
0F EF /r       |PXOR mm,mm/m64
